node                   X1                   X2                   X3                   U1                   U2                   U3                   R1                   R2                   R3                   M1                   M2                   M3
0001   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   3.68940556638E-317   3.68940556638E-317   2.69657794588E+253   6.18570188593E-321   5.41112163289E-312   8.88991974789E-307
0002   0.00000000000E+000   0.00000000000E+000   2.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   8.88579425995E-307   2.59028736802E-319   5.56274830679E-309   1.11255178342E-308   1.66882873616E-308   2.22510568890E-308
0003   0.00000000000E+000   0.00000000000E+000   4.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   2.78138264164E-308   3.33765959438E-308   3.89393654712E-308   4.45027928270E-308   5.56283318818E-308   6.67538709365E-308
0004   0.00000000000E+000   0.00000000000E+000   6.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   7.78794099913E-308   8.90069437520E-308   1.11258021862E-307   1.33509099971E-307   1.55760178081E-307   1.78016603700E-307
0005   0.00000000000E+000   0.00000000000E+000   8.00000000000E+000   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   2.22518759919E-307   2.67020916138E-307   3.11523072357E-307   3.56038639792E-307   4.45042952230E-307   5.34047264669E-307
0006   0.00000000000E+000   0.00000000000E+000   1.00000000000E+001   0.00000000000E+000   0.00000000000E+000   0.00000000000E+000   6.23051577107E-307   7.12088144368E-307   2.22518759919E-307   2.67020916138E-307   3.11523072357E-307   3.56038639792E-307
